bound_mode,mechanism,oversubscription,n_tenants,seed,valid_throughput_Bpns,admission_p99_ns,backlog_wait_p99_ns,pinned_peak,pinned_byte_time_Bns,reclaimable_capacity_frac,nonreclaimable_frac,rpe_payload_frac,blocked_reclaim_ratio
capacity,2PHASE,8,16,2,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,16,2,1.72539904,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.177265625,0.0
capacity,PROSE,8,16,3,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,16,3,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,16,3,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,16,3,1.74276608,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.168984375,0.0
capacity,PROSE,8,16,4,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,16,4,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,16,4,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,16,4,1.73932544,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.170625,0.0
capacity,PROSE,8,16,5,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,16,5,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,16,5,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,16,5,1.73441024,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17296875,0.0
capacity,PROSE,8,16,6,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,16,6,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,16,6,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,16,6,1.73719552,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.171640625,0.0
capacity,PROSE,8,16,7,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,16,7,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,16,7,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,16,7,1.72867584,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.175703125,0.0
capacity,PROSE,8,16,8,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,16,8,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,16,8,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,16,8,1.72818432,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.1759375,0.0
capacity,PROSE,8,16,9,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,16,9,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,16,9,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,16,9,1.728512,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17578125,0.0
capacity,PROSE,8,32,0,2.097152,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.0,1.0
capacity,REFCNT,8,32,0,2.0971493785632767,509.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,2PHASE,8,32,0,2.0971153004822414,7009.0,198000000.0,256,3355443200000000.0,0.5,0.5,0.0,1.0
capacity,GENONLY,8,32,0,1.71999232,9.0,198000000.0,32,419430400000000.0,0.9375,0.0625,0.17984375,0.0
