trace,policy,buffer_pct,buffer_capacity,num_tenants,epoch_interval,total_descriptors,stale_admits,rpe_rate,eviction_race_pct,epoch_race_pct,buffer_evictions,trace_name
azure_conv_8t.csv,ARC,100,512,2,500,79516,1611,0.020260073444338247,0.019744453946375574,0.0005156194979626742,0,Azure-Conv
azure_conv_8t.csv,ARC,100,512,4,500,79516,4775,0.060050807384677295,0.05956034005734695,0.0004904673273303487,0,Azure-Conv
azure_conv_8t.csv,ARC,100,512,8,500,79516,11297,0.14207203581669098,0.1416570250012576,0.0004150108154333719,0,Azure-Conv
azure_conv_8t.csv,ARC,100,512,16,500,79516,23762,0.2988329392826601,0.298593993661653,0.0002389456210070929,0,Azure-Conv
azure_conv_8t.csv,ARC,200,1024,2,500,79516,1607,0.020209769103073594,0.01969414960511092,0.0005156194979626742,0,Azure-Conv
azure_conv_8t.csv,ARC,200,1024,4,500,79516,4766,0.05993762261683183,0.05943457920418532,0.0005030434126465114,0,Azure-Conv
azure_conv_8t.csv,ARC,200,1024,8,500,79516,11265,0.14166960108657378,0.1412545902711404,0.0004150108154333719,0,Azure-Conv
azure_conv_8t.csv,ARC,200,1024,16,500,79516,23676,0.2977513959454701,0.2974998742391468,0.0002515217063232557,0,Azure-Conv
azure_conv_8t.csv,ARC,400,2048,2,500,79516,1592,0.020021127823331153,0.01954323658131697,0.0004778912420141858,0,Azure-Conv
azure_conv_8t.csv,ARC,400,2048,4,500,79516,4733,0.05952261180139846,0.05901956838875195,0.0005030434126465114,0,Azure-Conv
azure_conv_8t.csv,ARC,400,2048,8,500,79516,11192,0.1407515468584939,0.14032395995774435,0.0004275869007495347,0,Azure-Conv
azure_conv_8t.csv,ARC,400,2048,16,500,79516,23541,0.2960536244277881,0.2957895266361487,0.0002640977916394185,0,Azure-Conv
azure_conv_8t.csv,LIRS,50,256,2,500,79516,1611,0.020260073444338247,0.019744453946375574,0.0005156194979626742,0,Azure-Conv
azure_conv_8t.csv,LIRS,50,256,4,500,79516,4778,0.06008853564062579,0.059598068313295435,0.0004904673273303487,0,Azure-Conv
azure_conv_8t.csv,LIRS,50,256,8,500,79516,11319,0.14234870969364657,0.14192112279289704,0.0004275869007495347,0,Azure-Conv
azure_conv_8t.csv,LIRS,50,256,16,500,79516,23806,0.2993862870365713,0.29914734141556415,0.0002389456210070929,0,Azure-Conv
azure_conv_8t.csv,LIRS,100,512,2,500,79516,1611,0.020260073444338247,0.019744453946375574,0.0005156194979626742,0,Azure-Conv
azure_conv_8t.csv,LIRS,100,512,4,500,79516,4775,0.060050807384677295,0.05956034005734695,0.0004904673273303487,0,Azure-Conv
azure_conv_8t.csv,LIRS,100,512,8,500,79516,11297,0.14207203581669098,0.1416570250012576,0.0004150108154333719,0,Azure-Conv
azure_conv_8t.csv,LIRS,100,512,16,500,79516,23762,0.2988329392826601,0.298593993661653,0.0002389456210070929,0,Azure-Conv
azure_conv_8t.csv,LIRS,200,1024,2,500,79516,1607,0.020209769103073594,0.01969414960511092,0.0005156194979626742,0,Azure-Conv
azure_conv_8t.csv,LIRS,200,1024,4,500,79516,4766,0.05993762261683183,0.05943457920418532,0.0005030434126465114,0,Azure-Conv
azure_conv_8t.csv,LIRS,200,1024,8,500,79516,11265,0.14166960108657378,0.1412545902711404,0.0004150108154333719,0,Azure-Conv
azure_conv_8t.csv,LIRS,200,1024,16,500,79516,23676,0.2977513959454701,0.2974998742391468,0.0002515217063232557,0,Azure-Conv
azure_conv_8t.csv,LIRS,400,2048,2,500,79516,1592,0.020021127823331153,0.01954323658131697,0.0004778912420141858,0,Azure-Conv
azure_conv_8t.csv,LIRS,400,2048,4,500,79516,4733,0.05952261180139846,0.05901956838875195,0.0005030434126465114,0,Azure-Conv
azure_conv_8t.csv,LIRS,400,2048,8,500,79516,11192,0.1407515468584939,0.14032395995774435,0.0004275869007495347,0,Azure-Conv
azure_conv_8t.csv,LIRS,400,2048,16,500,79516,23541,0.2960536244277881,0.2957895266361487,0.0002640977916394185,0,Azure-Conv
azure_conv_8t.csv,SIEVE,50,256,2,500,79516,1611,0.020260073444338247,0.019744453946375574,0.0005156194979626742,0,Azure-Conv
azure_conv_8t.csv,SIEVE,50,256,4,500,79516,4778,0.06008853564062579,0.059598068313295435,0.0004904673273303487,0,Azure-Conv
azure_conv_8t.csv,SIEVE,50,256,8,500,79516,11319,0.14234870969364657,0.14192112279289704,0.0004275869007495347,0,Azure-Conv
azure_conv_8t.csv,SIEVE,50,256,16,500,79516,23806,0.2993862870365713,0.29914734141556415,0.0002389456210070929,0,Azure-Conv
azure_conv_8t.csv,SIEVE,100,512,2,500,79516,1611,0.020260073444338247,0.019744453946375574,0.0005156194979626742,0,Azure-Conv
azure_conv_8t.csv,SIEVE,100,512,4,500,79516,4775,0.060050807384677295,0.05956034005734695,0.0004904673273303487,0,Azure-Conv
azure_conv_8t.csv,SIEVE,100,512,8,500,79516,11297,0.14207203581669098,0.1416570250012576,0.0004150108154333719,0,Azure-Conv
azure_conv_8t.csv,SIEVE,100,512,16,500,79516,23762,0.2988329392826601,0.298593993661653,0.0002389456210070929,0,Azure-Conv
azure_conv_8t.csv,SIEVE,200,1024,2,500,79516,1607,0.020209769103073594,0.01969414960511092,0.0005156194979626742,0,Azure-Conv
azure_conv_8t.csv,SIEVE,200,1024,4,500,79516,4766,0.05993762261683183,0.05943457920418532,0.0005030434126465114,0,Azure-Conv
azure_conv_8t.csv,SIEVE,200,1024,8,500,79516,11265,0.14166960108657378,0.1412545902711404,0.0004150108154333719,0,Azure-Conv
azure_conv_8t.csv,SIEVE,200,1024,16,500,79516,23676,0.2977513959454701,0.2974998742391468,0.0002515217063232557,0,Azure-Conv
azure_conv_8t.csv,SIEVE,400,2048,2,500,79516,1592,0.020021127823331153,0.01954323658131697,0.0004778912420141858,0,Azure-Conv
